Game_Number,XGID,Move,ND/NDR,DT/RDT,DD/RDD
6,XGID=--ABABBBA---cB-b-b-f-Ab-A-:1:1:-1:D:0:0:3:0:8,,0.504,0.547,1.0
6,XGID=--ABABBBA---cB-b-b-f-Ab-A-:1:1:-1:62:0:0:3:0:8,10/4* 6/4,,,
6,XGID=--ABABBBA---cB-a-b-e-bb-AA:1:1:1:54:0:0:3:0:8,Bar/20 24/20,,,
6,XGID=--ABABBBA---cB-a-b-eBbb---:1:1:-1:65:0:0:3:0:8,13/8 10/4,,,
6,XGID=--ABABBBA---bB---c-eBcb---:1:1:1:42:0:0:3:0:8,8/4 7/5,,,
6,XGID=--ABBCBA----bB---c-eBcb---:1:1:-1:11:0:0:3:0:8,8/7(3) 3/2,,,
6,XGID=--ABBCBA----bB----ceBcaa--:1:1:1:22:0:0:3:0:8,13/7 5/3,,,
6,XGID=--ACBBBB----bA----ceBcaa--:1:1:-1:62:0:0:3:0:8,7/1 4/2,,,
6,XGID=--ACBBBB----bA----beBbaba-:1:1:1:52:0:0:3:0:8,7/2 3/1,,,
6,XGID=-ABBBBBA----bA----beBbaba-:1:1:-1:54:0:0:3:0:8,6/2 6/1,,,
6,XGID=-ABBBBBA----bA----bcBbacb-:1:1:1:31:0:0:3:0:8,13/9,,,
6,XGID=-ABBBBBA-A--b-----bcBbacb-:1:1:-1:32:0:0:3:0:8,6/3 4/2,,,
6,XGID=-ABBBBBA-A--b-----bbBabdb-:1:1:1:52:0:0:3:0:8,20/15 9/7,,,
6,XGID=-ABBBBBB----b--A--bbAabdb-:1:1:-1:44:0:0:3:0:8,13/9(2) 7/3(2),,,
6,XGID=-ABBBBBB-------Ab--bAaddb-:1:1:1:64:0:0:3:0:8,15/5,,,
6,XGID=-ABBBCBB--------b--bAaddb-:1:1:-1:64:0:0:3:0:8,9/3 9/5*,,,
6,XGID=-ABBBCBB-----------baaedbA:1:1:1:63:0:0:3:0:8,Cannot Move,,,
6,XGID=-ABBBCBB-----------baaedbA:1:1:-1:52:0:0:3:0:8,5/Off 4/2,,,
6,XGID=-ABBBCBB-----------b--eebA:1:1:1:63:0:0:3:0:8,Cannot Move,,,
6,XGID=-ABBBCBB-----------b--eebA:1:1:-1:52:0:0:3:0:8,6/4 6/1,,,
6,XGID=-ABBBCBB-------------aeecA:1:1:1:65:0:0:3:0:8,Bar/14,,,
6,XGID=-ABBBCBB------A------aeec-:1:1:-1:42:0:0:3:0:8,4/Off 2/Off,,,
6,XGID=-ABBBCBB------A-------edc-:1:1:1:41:0:0:3:0:8,14/10 7/6,,,
6,XGID=-ABBBCCA--A-----------edc-:1:1:-1:31:0:0:3:0:8,3/Off 1/Off,,,
6,XGID=-ABBBCCA--A-----------ddb-:1:1:1:65:0:0:3:0:8,10/4 7/2,,,
6,XGID=-ACBCCC---------------ddb-:1:1:-1:54:0:0:3:0:8,3/Off(2),,,
6,XGID=-ACBCCC---------------bdb-:1:1:1:53:0:0:3:0:8,5/Off 3/Off,,,
6,XGID=-ACACBC---------------bdb-:1:1:-1:21:0:0:3:0:8,2/Off 1/Off,,,
6,XGID=-ACACBC---------------bca-:1:1:1:51:0:0:3:0:8,5/Off 1/Off,,,
6,XGID=--CACAC---------------bca-:1:1:-1:53:0:0:3:0:8,3/Off(2),,,
6,XGID=--CACAC----------------ca-:1:1:1:42:0:0:3:0:8,4/Off 2/Off,,,
6,XGID=--BABAC----------------ca-:1:1:-1:22:0:0:3:0:8,2/Off(3) 1/Off,,,
7,XGID=-b----E-C---eE---c-e----B-:0:0:1:00:0:0:3:0:8,,,,
7,XGID=-b----E-C---eE---c-e----B-:0:0:1:42:0:0:3:0:8,8/4 6/4,,,
7,XGID=-b--B-D-B---eE---c-e----B-:0:0:-1:64:0:0:3:0:8,8/2 6/2,,,
7,XGID=-b--B-D-B---eE---b-d---bB-:0:0:1:44:0:0:3:0:8,24/20(2) 13/9(2),,,
